Date	Day	Time	Pred(Ft)	Pred(cm)	High/Low						
26/02/2018	Mon	07:15	PM	3.95	120	H					
27/02/2018	Tue	12:29	AM	1.34	41	L					
27/02/2018	Tue	06:30	AM	6.02	183	H					
27/02/2018	Tue	01:36	PM	-1.31	-40	L					
27/02/2018	Tue	07:51	PM	4.32	132	H					
28/02/2018	Wed	01:19	AM	0.92	28	L					
28/02/2018	Wed	07:18	AM	6.23	190	H					
28/02/2018	Wed	02:15	PM	-1.41	-43	L					
28/02/2018	Wed	08:26	PM	4.62	141	H					
01/03/2018	Thu	02:05	AM	0.57	17	L					
01/03/2018	Thu	08:04	AM	6.23	190	H					
01/03/2018	Thu	02:52	PM	-1.31	-40	L					
01/03/2018	Thu	09:01	PM	4.84	148	H					
02/03/2018	Fri	02:49	AM	0.34	10	L					
02/03/2018	Fri	08:47	AM	5.99	183	H					
02/03/2018	Fri	03:28	PM	-1.01	-31	L					
02/03/2018	Fri	09:36	PM	4.95	151	H					
03/03/2018	Sat	03:33	AM	0.26	8	L					
03/03/2018	Sat	09:30	AM	5.54	169	H					
03/03/2018	Sat	04:02	PM	-0.57	-17	L					
03/03/2018	Sat	10:11	PM	4.95	151	H					
04/03/2018	Sun	04:19	AM	0.32	10	L					
04/03/2018	Sun	10:13	AM	4.93	150	H					
04/03/2018	Sun	04:36	PM	-0.01	0	L					
04/03/2018	Sun	10:47	PM	4.85	148	H					
05/03/2018	Mon	05:06	AM	0.49	15	L					
05/03/2018	Mon	10:58	AM	4.23	129	H					
05/03/2018	Mon	05:09	PM	0.6	18	L					
05/03/2018	Mon	11:24	PM	4.65	142	H					
06/03/2018	Tue	06:00	AM	0.73	22	L					
06/03/2018	Tue	11:50	AM	3.52	107	H					
06/03/2018	Tue	05:42	PM	1.21	37	L					
07/03/2018	Wed	12:06	AM	4.4	134	H					
07/03/2018	Wed	07:07	AM	0.96	29	L					
07/03/2018	Wed	01:01	PM	2.91	89	H					
07/03/2018	Wed	06:19	PM	1.78	54	L					
08/03/2018	Thu	12:58	AM	4.14	126	H					
08/03/2018	Thu	08:36	AM	1.06	32	L					
08/03/2018	Thu	03:02	PM	2.59	79	H					
08/03/2018	Thu	07:17	PM	2.24	68	L					
09/03/2018	Fri	02:10	AM	3.97	121	H					
09/03/2018	Fri	10:17	AM	0.89	27	L					
09/03/2018	Fri	05:44	PM	2.81	86	H					
09/03/2018	Fri	09:11	PM	2.48	76	L					
10/03/2018	Sat	03:34	AM	3.99	122	H					
10/03/2018	Sat	11:28	AM	0.57	17	L					
10/03/2018	Sat	06:28	PM	3.12	95	H					
10/03/2018	Sat	10:48	PM	2.38	73	L					
11/03/2018	Sun	05:43	AM	4.2	128	H					
11/03/2018	Sun	01:12	PM	0.25	8	L					
11/03/2018	Sun	07:51	PM	3.4	104	H					
12/03/2018	Mon	12:44	AM	2.09	64	L					
12/03/2018	Mon	06:35	AM	4.5	137	H					
12/03/2018	Mon	01:46	PM	-0.02	-1	L					
12/03/2018	Mon	08:10	PM	3.64	111	H					
13/03/2018	Tue	01:24	AM	1.76	54	L					
13/03/2018	Tue	07:15	AM	4.8	146	H					
13/03/2018	Tue	02:15	PM	-0.24	-7	L					
13/03/2018	Tue	08:29	PM	3.89	119	H					
14/03/2018	Wed	01:57	AM	1.41	43	L					
14/03/2018	Wed	07:51	AM	5.05	154	H					
14/03/2018	Wed	02:42	PM	-0.4	-12	L					
14/03/2018	Wed	08:50	PM	4.14	126	H					
15/03/2018	Thu	02:29	AM	1.07	33	L					
15/03/2018	Thu	08:25	AM	5.23	159	H					
15/03/2018	Thu	03:08	PM	-0.47	-14	L					
15/03/2018	Thu	09:14	PM	4.38	134	H					
16/03/2018	Fri	03:01	AM	0.76	23	L					
16/03/2018	Fri	08:58	AM	5.29	161	H					
16/03/2018	Fri	03:35	PM	-0.45	-14	L					
16/03/2018	Fri	09:38	PM	4.61	141	H					
17/03/2018	Sat	03:34	AM	0.51	16	L					
17/03/2018	Sat	09:32	AM	5.21	159	H					
17/03/2018	Sat	04:02	PM	-0.32	-10	L					
17/03/2018	Sat	10:05	PM	4.79	146	H					
18/03/2018	Sun	04:10	AM	0.32	10	L					
18/03/2018	Sun	10:07	AM	5	152	H					
18/03/2018	Sun	04:29	PM	-0.08	-2	L					
18/03/2018	Sun	10:33	PM	4.93	150	H					
19/03/2018	Mon	04:48	AM	0.21	6	L					
19/03/2018	Mon	10:45	AM	4.64	141	H					
19/03/2018	Mon	04:57	PM	0.27	8	L					
19/03/2018	Mon	11:03	PM	5	152	H					
20/03/2018	Tue	05:32	AM	0.2	6	L					
20/03/2018	Tue	11:28	AM	4.15	126	H					
20/03/2018	Tue	05:26	PM	0.7	21	L					
20/03/2018	Tue	11:37	PM	5	152	H					
21/03/2018	Wed	06:23	AM	0.27	8	L					
21/03/2018	Wed	12:21	PM	3.58	109	H					
