"ENSENADA,"	B.C.	(31	51	"N,"	116	38	W)
Fecha	Inicial:	20/04/2018					
Fecha	Final:	20/11/2018					
Zona	de	Tiempo:	0				
Intervalo	de	Muestreo:	60	minuto(s)			
Nivel	de	Referencia:	Bajamar	Media	Inferior	(NBMI)	
Alturas	en	metros					
2018	5	1	17	0	0	1.04	
2018	5	1	18	0	0	1.104	
2018	5	1	19	0	0	1.03	
2018	5	1	20	0	0	0.855	
2018	5	1	21	0	0	0.643	
2018	5	1	22	0	0	0.468	
2018	5	1	23	0	0	0.392	
2018	5	2	0	0	0	0.448	
2018	5	2	1	0	0	0.634	
2018	5	2	2	0	0	0.91	
2018	5	2	3	0	0	1.211	
2018	5	2	4	0	0	1.46	
2018	5	2	5	0	0	1.592	
2018	5	2	6	0	0	1.564	
2018	5	2	7	0	0	1.373	
2018	5	2	8	0	0	1.053	
2018	5	2	9	0	0	0.667	
2018	5	2	10	0	0	0.295	
2018	5	2	11	0	0	0.011	
2018	5	2	12	0	0	-0.13	
2018	5	2	13	0	0	-0.11	
2018	5	2	14	0	0	0.055	
2018	5	2	15	0	0	0.313	
2018	5	2	16	0	0	0.596	
2018	5	2	17	0	0	0.834	
2018	5	2	18	0	0	0.975	
2018	5	2	19	0	0	0.997	
2018	5	2	20	0	0	0.913	
2018	5	2	21	0	0	0.765	
2018	5	2	22	0	0	0.612	
2018	5	2	23	0	0	0.513	
2018	5	3	0	0	0	0.511	
2018	5	3	1	0	0	0.621	
2018	5	3	2	0	0	0.824	
2018	5	3	3	0	0	1.076	
2018	5	3	4	0	0	1.316	
2018	5	3	5	0	0	1.481	
2018	5	3	6	0	0	1.523	
2018	5	3	7	0	0	1.424	
2018	5	3	8	0	0	1.193	
2018	5	3	9	0	0	0.873	
2018	5	3	10	0	0	0.525	
2018	5	3	11	0	0	0.216	
2018	5	3	12	0	0	0.005	
2018	5	3	13	0	0	-0.074	
2018	5	3	14	0	0	-0.016	
2018	5	3	15	0	0	0.152	
2018	5	3	16	0	0	0.382	
2018	5	3	17	0	0	0.615	
2018	5	3	18	0	0	0.797	
2018	5	3	19	0	0	0.894	
2018	5	3	20	0	0	0.897	
2018	5	3	21	0	0	0.827	
2018	5	3	22	0	0	0.722	
2018	5	3	23	0	0	0.632	
2018	5	4	0	0	0	0.598	
2018	5	4	1	0	0	0.647	
2018	5	4	2	0	0	0.777	
2018	5	4	3	0	0	0.965	
2018	5	4	4	0	0	1.169	
2018	5	4	5	0	0	1.337	
2018	5	4	6	0	0	1.424	
2018	5	4	7	0	0	1.401	
2018	5	4	8	0	0	1.261	
2018	5	4	9	0	0	1.026	
2018	5	4	10	0	0	0.735	
2018	5	4	11	0	0	0.441	
2018	5	4	12	0	0	0.197	
2018	5	4	13	0	0	0.045	
2018	5	4	14	0	0	0.006	
2018	5	4	15	0	0	0.075	
2018	5	4	16	0	0	0.226	
2018	5	4	17	0	0	0.417	
2018	5	4	18	0	0	0.603	
2018	5	4	19	0	0	0.745	
2018	5	4	20	0	0	0.82	
2018	5	4	21	0	0	0.829	
2018	5	4	22	0	0	0.789	
2018	5	4	23	0	0	0.732	
2018	5	5	0	0	0	0.694	
2018	5	5	1	0	0	0.702	
2018	5	5	2	0	0	0.768	
2018	5	5	3	0	0	0.888	
2018	5	5	4	0	0	1.037	
2018	5	5	5	0	0	1.182	
2018	5	5	6	0	0	1.285	
2018	5	5	7	0	0	1.315	
2018	5	5	8	0	0	1.257	
2018	5	5	9	0	0	1.111	
2018	5	5	10	0	0	0.899	
2018	5	5	11	0	0	0.652	
2018	5	5	12	0	0	0.413	
2018	5	5	13	0	0	0.222	
2018	5	5	14	0	0	0.106	
2018	5	5	15	0	0	0.081	
2018	5	5	16	0	0	0.14	
2018	5	5	17	0	0	0.264	
2018	5	5	18	0	0	0.421	
2018	5	5	19	0	0	0.576	
2018	5	5	20	0	0	0.701	
2018	5	5	21	0	0	0.78	
2018	5	5	22	0	0	0.81	
2018	5	5	23	0	0	0.805	
2018	5	6	0	0	0	0.786	
2018	5	6	1	0	0	0.776	
2018	5	6	2	0	0	0.794	
2018	5	6	3	0	0	0.848	
2018	5	6	4	0	0	0.933	
2018	5	6	5	0	0	1.033	
2018	5	6	6	0	0	1.125	
2018	5	6	7	0	0	1.183	
2018	5	6	8	0	0	1.187	
2018	5	6	9	0	0	1.127	
