"Plot Title: sargento-canal"
"#","Date Time, GMT-07:00","Abs Pres, kPa","Temp, °C","Water Level, meters"
412,09/12/2018 18:06:51,120.397,26.488,0.939
413,09/12/2018 18:21:52,119.734,26.488,0.873
414,09/12/2018 18:36:53,119.032,26.488,0.803
415,09/12/2018 18:51:54,118.265,26.488,0.727
416,09/12/2018 19:06:55,117.447,26.488,0.646
417,09/12/2018 19:21:56,116.630,26.488,0.564
418,09/12/2018 19:36:57,115.890,26.488,0.491
419,09/12/2018 19:51:58,115.255,26.488,0.428
420,09/12/2018 20:06:59,114.750,26.488,0.377
421,09/12/2018 20:22:00,114.387,26.488,0.341
422,09/12/2018 20:37:01,114.089,26.488,0.312
423,09/12/2018 20:52:02,113.882,26.488,0.291
424,09/12/2018 21:07:03,113.700,26.488,0.273
425,09/12/2018 21:22:04,113.571,26.488,0.260
426,09/12/2018 21:37:05,113.467,26.488,0.250
427,09/12/2018 21:52:06,113.390,26.488,0.242
428,09/12/2018 22:07:07,113.312,26.488,0.234
429,09/12/2018 22:22:08,113.273,26.488,0.230
430,09/12/2018 22:37:09,113.234,26.488,0.226
431,09/12/2018 22:52:10,113.195,26.488,0.223
432,09/12/2018 23:07:11,113.157,26.488,0.219
433,09/12/2018 23:22:12,113.144,26.488,0.218
434,09/12/2018 23:37:13,113.118,26.488,0.215
435,09/12/2018 23:52:14,113.118,26.488,0.215
436,09/13/2018 00:07:15,113.092,26.488,0.212
437,09/13/2018 00:22:16,113.079,26.488,0.211
438,09/13/2018 00:37:17,113.066,26.488,0.210
439,09/13/2018 00:52:18,113.040,26.488,0.207
440,09/13/2018 01:07:19,113.027,26.488,0.206
441,09/13/2018 01:22:20,113.027,26.488,0.206
442,09/13/2018 01:37:21,113.014,26.488,0.205
443,09/13/2018 01:52:22,113.027,26.488,0.206
444,09/13/2018 02:07:23,114.552,26.390,0.358
445,09/13/2018 02:22:24,117.227,26.488,0.624
446,09/13/2018 02:37:25,118.694,26.488,0.770
447,09/13/2018 02:52:26,119.604,26.488,0.860
448,09/13/2018 03:07:27,120.354,26.390,0.935
449,09/13/2018 03:22:28,121.151,26.488,1.014
450,09/13/2018 03:37:29,122.075,26.488,1.106
451,09/13/2018 03:52:30,122.961,26.488,1.194
452,09/13/2018 04:07:31,123.717,26.488,1.269
453,09/13/2018 04:22:32,124.199,26.488,1.317
454,09/13/2018 04:37:33,124.382,26.488,1.336
455,09/13/2018 04:52:34,124.238,26.488,1.321
456,09/13/2018 05:07:35,123.886,26.488,1.286
457,09/13/2018 05:22:36,123.365,26.488,1.234
458,09/13/2018 05:37:37,122.766,26.488,1.175
459,09/13/2018 05:52:38,122.141,26.488,1.113
460,09/13/2018 06:07:39,121.529,26.488,1.052
461,09/13/2018 06:22:40,120.904,26.488,0.990
462,09/13/2018 06:37:41,120.306,26.488,0.930
463,09/13/2018 06:52:42,119.682,26.488,0.868
464,09/13/2018 07:07:43,118.993,26.488,0.799
465,09/13/2018 07:22:44,118.252,26.488,0.726
466,09/13/2018 07:37:45,117.421,26.488,0.643
